,cod_mun,nom_mun,Periodo,Distribución de la renta P80/P20,Índice de Gini
84,08015,Badalona,2015,"2,9","32,7"
85,08015,Badalona,2016,"2,7","32,4"
86,08015,Badalona,2017,"2,8","31,4"
87,08015,Badalona,2018,"2,7","30,8"
88,08015,Badalona,2019,"2,8","30,5"
89,08015,Badalona,2020,"2,8","30,9"
108,08019,Barcelona,2015,"3,2","36,8"
109,08019,Barcelona,2016,"3,3","37,0"
110,08019,Barcelona,2017,"3,1","36,4"
111,08019,Barcelona,2018,"3,2","36,2"
112,08019,Barcelona,2019,"3,1","35,8"
113,08019,Barcelona,2020,"3,1","35,7"
114,08020,Begues,2015,"2,7","32,5"
115,08020,Begues,2016,"2,6","32,0"
116,08020,Begues,2017,"2,6","31,9"
117,08020,Begues,2018,"2,6","31,7"
118,08020,Begues,2019,"2,5","31,9"
119,08020,Begues,2020,"2,4","30,4"
330,08056,Castelldefels,2015,"3,1","37,1"
331,08056,Castelldefels,2016,"3,2","37,1"
332,08056,Castelldefels,2017,"3,1","36,2"
333,08056,Castelldefels,2018,"3,0","35,9"
334,08056,Castelldefels,2019,"3,1","35,7"
335,08056,Castelldefels,2020,"3,1","35,1"
432,08073,Cornellà de Llobregat,2015,"2,7","30,5"
433,08073,Cornellà de Llobregat,2016,"2,8","30,5"
434,08073,Cornellà de Llobregat,2017,"2,6","29,3"
435,08073,Cornellà de Llobregat,2018,"2,5","28,9"
436,08073,Cornellà de Llobregat,2019,"2,5","28,7"
437,08073,Cornellà de Llobregat,2020,"2,7","29,2"
456,08077,Esplugues de Llobregat,2015,"2,7","33,9"
457,08077,Esplugues de Llobregat,2016,"2,8","33,9"
458,08077,Esplugues de Llobregat,2017,"2,7","33,2"
459,08077,Esplugues de Llobregat,2018,"2,7","32,8"
460,08077,Esplugues de Llobregat,2019,"2,5","32,3"
461,08077,Esplugues de Llobregat,2020,"2,7","32,3"
528,08089,Gavà,2015,"2,8","33,1"
529,08089,Gavà,2016,"2,7","32,8"
530,08089,Gavà,2017,"2,7","31,9"
531,08089,Gavà,2018,"2,6","31,3"
532,08089,Gavà,2019,"2,6","30,8"
533,08089,Gavà,2020,"2,6","31,0"
600,08101,"Hospitalet de Llobregat, L'",2015,"3,0","32,6"
601,08101,"Hospitalet de Llobregat, L'",2016,"3,1","32,5"
602,08101,"Hospitalet de Llobregat, L'",2017,"2,8","31,5"
603,08101,"Hospitalet de Llobregat, L'",2018,"2,8","30,9"
604,08101,"Hospitalet de Llobregat, L'",2019,"2,6","30,6"
605,08101,"Hospitalet de Llobregat, L'",2020,"2,8","31,1"
624,08105,"Llagosta, La",2015,"2,4","28,3"
625,08105,"Llagosta, La",2016,"2,4","28,7"
626,08105,"Llagosta, La",2017,"2,4","27,7"
627,08105,"Llagosta, La",2018,"2,3","27,1"
628,08105,"Llagosta, La",2019,"2,4","26,4"
629,08105,"Llagosta, La",2020,"2,4","26,6"
744,08125,Montcada i Reixac,2015,"2,7","31,4"
745,08125,Montcada i Reixac,2016,"2,8","31,4"
746,08125,Montcada i Reixac,2017,"2,6","30,0"
747,08125,Montcada i Reixac,2018,"2,7","29,7"
748,08125,Montcada i Reixac,2019,"2,6","29,6"
749,08125,Montcada i Reixac,2020,"2,6","29,9"
750,08126,Montgat,2015,"2,6","30,2"
751,08126,Montgat,2016,"2,5","30,0"
752,08126,Montgat,2017,"2,4","28,9"
753,08126,Montgat,2018,"2,4","28,1"
754,08126,Montgat,2019,"2,3","28,1"
755,08126,Montgat,2020,"2,3","28,9"
936,08157,Pallejà,2015,"2,5","30,4"
937,08157,Pallejà,2016,"2,5","29,6"
938,08157,Pallejà,2017,"2,4","29,0"
939,08157,Pallejà,2018,"2,4","28,2"
940,08157,Pallejà,2019,"2,3","28,4"
941,08157,Pallejà,2020,"2,3","28,0"
942,08158,"Papiol, El",2015,"2,5","31,3"
943,08158,"Papiol, El",2016,"2,5","29,7"
944,08158,"Papiol, El",2017,"2,4","29,4"
945,08158,"Papiol, El",2018,"2,6","29,5"
946,08158,"Papiol, El",2019,"2,3","28,2"
947,08158,"Papiol, El",2020,"2,4","28,6"
1068,08180,Ripollet,2015,"2,6","30,2"
1069,08180,Ripollet,2016,"2,5","29,8"
1070,08180,Ripollet,2017,"2,6","28,6"
1071,08180,Ripollet,2018,"2,5","28,1"
1072,08180,Ripollet,2019,"2,4","27,7"
1073,08180,Ripollet,2020,"2,4","28,1"
1104,08187,Sabadell,2015,"2,8","32,8"
1105,08187,Sabadell,2016,"2,6","32,3"
1106,08187,Sabadell,2017,"2,7","31,4"
1107,08187,Sabadell,2018,"2,7","30,8"
1108,08187,Sabadell,2019,"2,6","30,5"
1109,08187,Sabadell,2020,"2,7","30,6"
1146,08194,Sant Adrià de Besòs,2015,"3,3","33,8"
1147,08194,Sant Adrià de Besòs,2016,"3,0","33,5"
1148,08194,Sant Adrià de Besòs,2017,"2,8","32,4"
1149,08194,Sant Adrià de Besòs,2018,"2,9","31,8"
1150,08194,Sant Adrià de Besòs,2019,"2,8","31,3"
1151,08194,Sant Adrià de Besòs,2020,"2,8","31,5"
1182,08200,Sant Boi de Llobregat,2015,"2,5","28,9"
1183,08200,Sant Boi de Llobregat,2016,"2,4","28,3"
1184,08200,Sant Boi de Llobregat,2017,"2,4","27,7"
1185,08200,Sant Boi de Llobregat,2018,"2,4","27,2"
1186,08200,Sant Boi de Llobregat,2019,"2,3","26,9"
1187,08200,Sant Boi de Llobregat,2020,"2,3","27,0"
1206,08204,Sant Climent de Llobregat,2015,"2,3","27,6"
1207,08204,Sant Climent de Llobregat,2016,"2,4","28,1"
1208,08204,Sant Climent de Llobregat,2017,"2,3","26,7"
1209,08204,Sant Climent de Llobregat,2018,"2,1","25,9"
1210,08204,Sant Climent de Llobregat,2019,"2,1","26,0"
1211,08204,Sant Climent de Llobregat,2020,"2,2","25,9"
1212,08205,Sant Cugat del Vallès,2015,"3,2","36,7"
1213,08205,Sant Cugat del Vallès,2016,"3,3","36,8"
1214,08205,Sant Cugat del Vallès,2017,"3,2","36,2"
1215,08205,Sant Cugat del Vallès,2018,"3,1","35,7"
1216,08205,Sant Cugat del Vallès,2019,"3,1","35,7"
1217,08205,Sant Cugat del Vallès,2020,"2,9","35,1"
1248,08211,Sant Feliu de Llobregat,2015,"2,5","30,0"
1249,08211,Sant Feliu de Llobregat,2016,"2,4","29,8"
1250,08211,Sant Feliu de Llobregat,2017,"2,5","28,9"
1251,08211,Sant Feliu de Llobregat,2018,"2,4","28,6"
1252,08211,Sant Feliu de Llobregat,2019,"2,4","28,3"
1253,08211,Sant Feliu de Llobregat,2020,"2,4","28,5"
1284,08217,Sant Joan Despí,2015,"2,5","31,0"
1285,08217,Sant Joan Despí,2016,"2,5","30,8"
1286,08217,Sant Joan Despí,2017,"2,4","30,2"
1287,08217,Sant Joan Despí,2018,"2,4","29,6"
1288,08217,Sant Joan Despí,2019,"2,3","29,0"
1289,08217,Sant Joan Despí,2020,"2,3","29,3"
1308,08221,Sant Just Desvern,2015,"3,1","38,5"
1309,08221,Sant Just Desvern,2016,"3,1","38,1"
1310,08221,Sant Just Desvern,2017,"3,1","37,3"
1311,08221,Sant Just Desvern,2018,"3,0","37,1"
1312,08221,Sant Just Desvern,2019,"2,9","36,5"
1313,08221,Sant Just Desvern,2020,"2,8","35,0"
1446,08244,Santa Coloma de Cervelló,2015,"2,4","27,6"
1447,08244,Santa Coloma de Cervelló,2016,"2,3","27,6"
1448,08244,Santa Coloma de Cervelló,2017,"2,2","26,4"
1449,08244,Santa Coloma de Cervelló,2018,"2,2","25,9"
1450,08244,Santa Coloma de Cervelló,2019,"2,1","25,9"
1451,08244,Santa Coloma de Cervelló,2020,"2,2","25,9"
1452,08245,Santa Coloma de Gramenet,2015,"2,8","31,8"
1453,08245,Santa Coloma de Gramenet,2016,"2,8","31,3"
1454,08245,Santa Coloma de Gramenet,2017,"2,7","30,6"
1455,08245,Santa Coloma de Gramenet,2018,"2,7","29,9"
1456,08245,Santa Coloma de Gramenet,2019,"2,6","29,5"
1457,08245,Santa Coloma de Gramenet,2020,"2,6","30,0"
1578,08266,Cerdanyola del Vallès,2015,"2,5","31,6"
1579,08266,Cerdanyola del Vallès,2016,"2,7","31,9"
1580,08266,Cerdanyola del Vallès,2017,"2,5","30,7"
1581,08266,Cerdanyola del Vallès,2018,"2,5","30,1"
1582,08266,Cerdanyola del Vallès,2019,"2,4","29,9"
1583,08266,Cerdanyola del Vallès,2020,"2,5","29,8"
1602,08270,Sitges,2015,"3,6","40,8"
1603,08270,Sitges,2016,"3,7","40,9"
1604,08270,Sitges,2017,"3,6","40,1"
1605,08270,Sitges,2018,"3,4","40,1"
1606,08270,Sitges,2019,"3,3","39,5"
1607,08270,Sitges,2020,"3,6","39,8"
1674,08282,Tiana,2015,"2,9","33,9"
1675,08282,Tiana,2016,"2,8","33,6"
1676,08282,Tiana,2017,"2,7","33,0"
1677,08282,Tiana,2018,"2,7","32,3"
1678,08282,Tiana,2019,"2,6","32,3"
1679,08282,Tiana,2020,"2,6","31,6"
1716,08289,Torrelles de Llobregat,2015,"2,5","30,2"
1717,08289,Torrelles de Llobregat,2016,"2,6","30,0"
1718,08289,Torrelles de Llobregat,2017,"2,4","28,9"
1719,08289,Torrelles de Llobregat,2018,"2,3","28,0"
1720,08289,Torrelles de Llobregat,2019,"2,4","27,3"
1721,08289,Torrelles de Llobregat,2020,"2,3","27,8"
1788,08301,Viladecans,2015,"2,4","28,8"
1789,08301,Viladecans,2016,"2,4","28,7"
1790,08301,Viladecans,2017,"2,4","27,7"
1791,08301,Viladecans,2018,"2,3","27,2"
1792,08301,Viladecans,2019,"2,3","26,9"
1793,08301,Viladecans,2020,"2,3","27,0"
1854,08904,Badia del Vallès,2015,"2,4","28,5"
1855,08904,Badia del Vallès,2016,"2,3","27,8"
1856,08904,Badia del Vallès,2017,"2,4","26,5"
1857,08904,Badia del Vallès,2018,"2,3","25,5"
1858,08904,Badia del Vallès,2019,"2,2","25,1"
1859,08904,Badia del Vallès,2020,"2,2","25,2"
